Effect,Freq,Endpoint,Accepted
Photosynthesis: Change in plant productivity indicated by change in 14C or CO2 uptake or oxygen production.,113,photosynthesis,No
"Population, Chlorophyll A concentration",3,photosynthesis,No
hatchability,1,reproduction,Yes
"Hatchability: Change in percent hatch, time to hatch or number of eggs hatched.",13,reproduction,Yes
Lifetime reproduction,1,reproduction,Yes
Reproduction,2023,reproduction,Yes
reproduction and mortality,2,reproduction,Yes
reproduction and survival,1,reproduction,Yes
"reproduction rate, parental mortality, appearance of first offspring",2,reproduction,Yes
"Reproduction, Biomass",2,reproduction,Yes
"Reproduction, Fecundity",64,reproduction,Yes
"Reproduction, Gross Reproductive Rate",1,reproduction,Yes
"Reproduction, Hatch",31,reproduction,Yes
"Reproduction, Net Reproductive Rate",3,reproduction,Yes
"Reproduction, Progeny counts/numbers",135,reproduction,Yes
"Reproduction, Reproduction, general",63,reproduction,Yes
"Reproduction, Reproductive success (general)",4,reproduction,Yes
"Reproduction, Time to first progeny",20,reproduction,Yes
"Reproduction, Vegetative reproduction",4,reproduction,Yes
"Reproduction: Change in male and/or female reproductive ability, fertilization and fertilization rate. Includes vegetative reproductive processes.",217,reproduction,Yes
"total progeny, number of broods, mean brood size",1,reproduction,Yes
"total progeny, number of broods, mean brood size, dry weight per adult",1,reproduction,Yes
