Latin name,Trophic Level,Medium,Taxonomic kingdom,Taxonomic phylum or division,Taxonomic subphylum,Taxonomic superclass,Taxonomic class,Taxonomic order,Taxonomic family
Anguilla rostrata,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Anguilliformes,Anguillidae
Carassius auratus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Leuciscus idus melanotus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Tanichthys albonubes,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Gambusia affinis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Poeciliidae
Crangon crangon,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Crangonidae
Platichthys flesus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Pleuronectiformes,Pleuronectidae
Oncorhynchus tshawytscha,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Oncorhynchus kisutch,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Scenedesmus quadricauda,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Scenedesmaceae
Daphnia pulex,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Oryzias latipes,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Beloniformes,Adrianichthyidae
Ameiurus melas,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Ictaluridae
Ceriodaphnia dubia,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Leuciscus idus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Danio rerio,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Salvelinus fontinalis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Salmo trutta,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Anguilla japonica,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Anguilliformes,Anguillidae
Sphoeroides annulatus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Tetraodontiformes,Tetraodontidae
Brachionus calyciflorus,INVERT,Freshwater,Animalia,Rotifera,,,Monogononta,Ploima,Brachionidae
Thamnocephalus platyurus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Anostraca,Thamnocephalidae
Scrobicularia plana,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Semelidae
Streptocephalus proboscideus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Anostraca,Streptocephalidae
Indonaia caerulea,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Oreochromis mossambicus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Moina micrura,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Cladocera,Moinidae
Gambusia holbrooki,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Poeciliidae
Poecilia reticulata,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Poeciliidae
Oryzias melastigma,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Beloniformes,Adrianichthyidae
Pomatoschistus minutus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Gobiidae
Rasbora heteromorpha,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Procambarus acutus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Cambaridae
Metapenaeus monoceros,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Penaeidae
Penaeus indicus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Penaeidae
Cyprinus carpio,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Heteropneustes fossilis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Heteropneustidae
Carassius carassius,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Perca sp,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Percidae
Ictalurus sp,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Ictaluridae
Aedes aegypti,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Gila cypha,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Ptychocheilus oregonensis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Ptychocheilus lucius,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Cyprinodon variegatus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Cyprinodontidae
Channa punctatus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Channidae
Channa punctata,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Channidae
Culex pipiens,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Anopheles stephensi,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Dendraster excentricus,INVERT,Saltwater,Animalia,Echinodermata,Echinozoa,,Echinoidea,Clypeasteroida,Dendrasteridae
Cancer magister,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Cancridae
Pseudacris triseriata,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Hylidae
Tilapia sp,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Oncorhynchus clarkii,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Pomoxis nigromaculatus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Centrarchidae
Notropis blennius,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Lepomis microlophus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Centrarchidae
Ephemerella sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Ephemerellidae
Tipula sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Tipulidae
Ophiogomphus sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Odonata,Gomphidae
Hexagenia bilineata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Ephemeridae
Lagodon rhomboides,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Sparidae
Mugil cephalus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Mugiliformes,Mugilidae
Fundulus similis,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Cyprinodontidae
Americamysis bahia,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Mysida,Mysidae
Penaeus stylirostris,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Penaeidae
Palaemonetes pugio,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Crangon septemspinosa,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Crangonidae
Palaemonetes vulgaris,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Pagurus longicarpus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Paguridae
Fundulus majalis,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Cyprinodontidae
Thalassoma bifasciatum,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Labridae
Fundulus heteroclitus,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Cyprinodontidae
Tilapia zillii,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Culex quinquefasciatus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Macrobrachium kistnensis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Notonecta undulata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Heteroptera,Notonectidae
Peltodytes sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Haliplidae
Lestes congener,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Zygoptera,Lestidae
Notemigonus crysoleucas,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Penaeus vannamei,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Penaeidae
Odagmia ornata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Simuliidae
Drunella grandis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Ephemeroptera,Ephemerellidae
Gammarus lacustris,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Hydropsyche californica,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Trichoptera,Hydropsychidae
Hesperoperla pacifica,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Perlidae
Pteronarcys californica,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Pteronarcyidae
Channa striata,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Channidae
Culex sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Misgurnus anguillicaudatus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cobitidae
Chironomus riparius,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Lepidodermella squamatum,INVERT,Freshwater,Animalia,Gastrotricha,,,,Chaetonotida,Chaetonotidae
Aplocheilus lineatus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Cyprinodontidae
Macropodus cupanus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Anabantidae
Eretes sticticus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Coleoptera,Dytiscidae
Cypridopsis vidua,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Ostracoda,Podocopa,Cypridopsidae
Esox lucius,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Esociformes,Esocidae
Stizostedion vitreum,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Percidae
Perca flavescens,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Percidae
Isoperla sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Perlodidae
Pentaneura sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Chaoborus sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chaoboridae
Chironomus tentans,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Salvelinus sp,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae
Tinca tinca,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Carassius sp,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Polycelis felina,INVERT,Freshwater,Animalia,Platyhelminthes,,,Turbellaria,Tricladida,Planariidae
Clarias batrachus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Clariidae
Cirrhinus mrigala,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Labeo rohita,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Gibelion catla,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Alburnus alburnus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Nitocra spinipes,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Harpacticoida,Ameiridae
Therapon jarbua,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Terapontidae
Ischnura verticalis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Odonata,Coenagrionidae
Gammarus fasciatus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Palaemonetes kadiakensis,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Asellus brevicaudus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Isopoda,Asellidae
Rhodeus sericeus,FISH,Freshwater,Animalia,Chordata,,,Actinopterygii,Cypriniformes,Cyprinidae
Leucaspius delineatus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Lepomis gibbosus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Centrarchidae
Lepomis megalotis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Centrarchidae
Aplodinotus grunniens,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Sciaenidae
Culaea inconstans,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Gasterosteiformes,Gasterosteidae
Phoxinus eos,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Macrobrachium lamarrei,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Bosmina longirostris,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Bosminidae
Simocephalus serrulatus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Sander vitreus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Percidae
Simocephalus sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Liza macrolepis,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Mugiliformes,Mugilidae
Semisulcospira libertina,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Neotaenioglossa,Pleuroceridae
Indoplanorbis exustus,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Cephalaspidea,Bullinidae
Cipangopaludina malleata,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Architaenioglossa,Viviparidae
Physella acuta,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Basommatophora,Physidae
Kuhlia sandvicensis,FISH,Saltwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Kuhliidae
Tilapia mossambica,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Rana limnocharis,AMPHIB,Freshwater,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Ranidae
Echinogammarus tibaldii,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Gammarus italicus,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Viviparus bengalensis,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Architaenioglossa,Viviparidae
Colisa fasciata,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Osphronemidae
Tilapia spilurus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae
Paratelphusa jacquemontii,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Parathelphusidae
Pleuronectes platessa,FISH,,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Pleuronectiformes,Pleuronectidae
Cerastoderma edule,INVERT,Saltwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Cardiidae
Lucifer sp,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Luciferidae
Eucalanus sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Eucalanidae
Acartia sp,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Acartiidae
Sagitta sp,INVERT,Saltwater,Animalia,Chaetognatha,,,Sagittoidea,Aphragmophora,Sagittidae
Barbus dorsalis,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae
Corophium insidiosum,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Corophiidae
Elasmopus bampo,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Gammaridae
Eurythoe complanata,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Aciculata,Amphinomidae
Capitella capitata,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Canalipalpata,Capitellidae
Neanthes grubei,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Aciculata,Nereididae
Nereis arenaceodentata,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Aciculata,Nereididae
Ophryotrocha labronica,INVERT,Saltwater,Animalia,Annelida,,,Polychaeta,Aciculata,Dorvilleidae
Culiseta annulata,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Aedes vexans,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Aedes sticticus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Aedes excrucians,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Aedes communis,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Aedes cantans,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Aedes punctor,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Orconectes nais,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Cambaridae
Claassenia sabulosa,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Perlidae
Pteronarcella badia,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Plecoptera,Pteronarcyidae
Daphnia carinata,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Procladius sp,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Dunaliella tertiolecta,ALGAE,Saltwater,Plantae,Chlorophyta,,,Chlorophyceae,Volvocales,Dunaliellaceae
Ceriodaphnia cornuta,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Neodiaptomus kamakhiae,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Calanoida,Diaptomidae
Diaphanosoma excisum,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Cladocera,Sididae
Moina brachiata,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Cladocera,Moinidae
Culex fatigans,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Cyclops sp,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Maxillopoda,Cyclopoida,Cyclopidae
Asplanchna brightwelli,INVERT,Freshwater,Animalia,Rotifera,,,Monogononta,Ploima,Asplanchnidae
Culex tritaeniorhynchus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae
Chironomus plumosus,INVERT,Freshwater,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Chironomidae
Tubifex tubifex,INVERT,Freshwater,Animalia,Annelida,,,Oligochaeta,Haplotaxida,Tubificidae
Notopterus notopterus,FISH,Freshwater,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Osteoglossiformes,Notopteridae
Scenedesmus acutus,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Scenedesmaceae
Chlorella vulgaris var viridis,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Oocystaceae
Dreissena polymorpha,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Veneroida,Dreissenidae
Scenedesmus sp,ALGAE,Freshwater,Plantae,Chlorophyta,,,Chlorophyceae,Chlorococcales,Scenedesmaceae
Oncomelania nosophora,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Mesogastropoda,Pomatiopsidae
Lanistes carinatus,INVERT,Freshwater,Animalia,Mollusca,,,Gastropoda,Architaenioglossa,Ampullariidae
Obliquaria reflexa,INVERT,Freshwater,Animalia,Mollusca,,,Bivalvia,Unionoida,Unionidae
Daphnia longispina,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae
Hydra vulgaris,INVERT,Freshwater,Animalia,Cnidaria,,,Hydrozoa,Hydroida,Hydridae
Lumbriculus variegatus,INVERT,Freshwater,Animalia,Annelida,,,Clitellata,Lumbriculida,Lumbriculidae
Hyalella azteca,INVERT,Freshwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Amphipoda,Hyalellidae
Palaemon paucidens,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Palaemonidae
Penaeus japonicus,INVERT,Saltwater,Animalia,Arthropoda,Crustacea,,Malacostraca,Decapoda,Penaeidae
